fecha,comunidad,producto,marca,ventas_euros,unidades,cliente_id,categoria
2024-01-16,Comunidad Valenciana,ASUS ZenBook,ASUS,14500,6,1082,Portátiles
2024-01-16,Galicia,Google Pixel 8,Google,6700,4,1083,Smartphones
2024-01-16,País Vasco,PlayStation Portal,Sony,5600,8,1084,Consolas
2024-01-17,Madrid,Samsung Galaxy Watch 6,Samsung,4500,9,1085,Wearables
2024-01-17,Cataluña,AirPods Pro 2,Apple,8900,17,1086,Auriculares
2024-01-17,Andalucía,iPad Air,Apple,11200,6,1087,Tablets
2024-01-17,Castilla y León,Amazon Echo Show 8,Amazon,2900,8,1088,Smart Home
2024-01-17,Canarias,iPhone 15,Apple,16700,7,1089,Smartphones
2024-01-18,Aragón,MacBook Air M2,Apple,14500,5,1090,Portátiles
2024-01-18,Murcia,Nintendo Switch OLED,Nintendo,5600,5,1091,Consolas
2024-01-18,Baleares,Samsung Galaxy S24,Samsung,8900,4,1092,Smartphones
2024-01-18,Castilla-La Mancha,Xiaomi Redmi Note 13,Xiaomi,8900,23,1093,Smartphones
2024-01-18,Extremadura,Apple Watch Series 9,Apple,5600,7,1094,Wearables
2024-01-19,Navarra,Samsung Galaxy Tab S9,Samsung,8900,5,1095,Tablets
2024-01-19,Cantabria,PlayStation 5,Sony,14500,6,1096,Consolas
2024-01-19,La Rioja,MacBook Pro M3,Apple,23400,4,1097,Portátiles
2024-01-19,Madrid,Sony WH-1000XM5,Sony,7800,9,1098,Auriculares
2024-01-19,Cataluña,Xiaomi Smart Band 8,Xiaomi,2300,34,1099,Smartphones
2024-01-20,Andalucía,iPhone 15 Pro,Apple,26700,8,1100,Smartphones
